c,x,y,z,c2,x2,y2,z2
#017933,0.27,-0.385,0.475,,,,
#003894,-0.352,-0.462,0.58,,,,
#01682a,0.238,-0.326,0.408,,,,
#008831,0.331,-0.418,0.533,,,,
#423808,0.173,0.147,0.259,,,,
#c83820,0.098,0.651,0.784,,,,
#0048a8,-0.371,-0.544,0.659,,,,
#002b68,-0.235,-0.333,0.408,,,,
#0047a7,-0.371,-0.54,0.655,,,,
#b1710c,0.387,0.519,0.694,,,,
#002655,-0.182,-0.279,0.333,,,,
#002a66,-0.231,-0.326,0.4,,,,
#b7780c,0.412,0.529,0.718,,,,
#b6780b,0.415,0.527,0.714,,,,
#0045ae,-0.403,-0.551,0.682,,,,
#006630,0.211,-0.34,0.4,,,,
#003784,-0.297,-0.424,0.518,,,,
#96782c,0.284,0.304,0.588,,,,
#cf9d02,0.572,0.565,0.812,,,,
#005422,0.192,-0.267,0.329,,,,
#0043b1,-0.421,-0.552,0.694,,,,
#018a36,0.322,-0.43,0.541,,,,
#d7a804,0.602,0.568,0.843,,,,
#046638,0.181,-0.339,0.4,,,,
#2078ce,-0.338,-0.593,0.808,,,,
#1f78c8,-0.315,-0.583,0.784,,,,
#007329,0.281,-0.352,0.451,,,,
#1c78c8,-0.316,-0.596,0.784,,,,
#1b78cc,-0.331,-0.61,0.8,,,,
#1a78cb,-0.327,-0.612,0.796,,,,
#1878cf,-0.343,-0.631,0.812,,,,
#1078cb,-0.329,-0.656,0.796,,,,
#0478d9,-0.383,-0.742,0.851,,,,
#037837,0.252,-0.383,0.471,,,,
#027832,0.269,-0.376,0.471,,,,
#017830,0.276,-0.376,0.471,,,,
#0040a8,-0.398,-0.525,0.659,,,,
#00419c,-0.351,-0.501,0.612,,,,
#0047ab,-0.385,-0.549,0.671,,,,
#026b32,0.222,-0.347,0.42,,,,
#036b3a,0.193,-0.359,0.42,,,,
#0147a3,-0.356,-0.526,0.639,,,,
#005f1f,0.242,-0.284,0.373,,,,
#174228,0.1,-0.136,0.259,,,,
#0042a4,-0.377,-0.521,0.643,,,,
#014ead,-0.369,-0.565,0.678,,,,
#015e31,0.177,-0.319,0.369,,,,
#bc7702,0.446,0.577,0.737,,,,
#004eb5,-0.398,-0.587,0.71,,,,
#b77702,0.445,0.553,0.718,,,,
#b6770d,0.405,0.525,0.714,,,,
#d09e0c,0.541,0.546,0.816,,,,
#005e29,0.205,-0.306,0.369,,,,
#d49e08,0.557,0.574,0.831,,,,
#0043ac,-0.402,-0.541,0.675,,,,
#003e15,0.155,-0.187,0.243,,,,
#00317b,-0.284,-0.39,0.482,,,,
#01551a,0.221,-0.244,0.333,,,,
#cf9e00,0.582,0.566,0.812,,,,
#04552a,0.168,-0.27,0.333,,,,
#0044a4,-0.37,-0.526,0.643,,,,
#007c3a,0.257,-0.413,0.486,,,,
#025c2c,0.187,-0.299,0.361,,,,
#0045ac,-0.396,-0.546,0.675,,,,
#0147a1,-0.349,-0.522,0.631,,,,
#0047ad,-0.393,-0.553,0.678,,,,
#0046b0,-0.407,-0.557,0.69,,,,
#016231,0.192,-0.328,0.384,,,,
#016a2d,0.235,-0.338,0.416,,,,
#006225,0.233,-0.306,0.384,,,,
#006a2d,0.236,-0.342,0.416,,,,
#2577c8,-0.318,-0.555,0.784,,,,
#2177c8,-0.319,-0.572,0.784,,,,
